Id,PID,MS SubClass,Lot Frontage,Lot Area,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,SalePrice,Street_Pave,Roof Matl_Membran,Roof Matl_Tar&Grv,Roof Matl_WdShake,Roof Matl_WdShngl,Central Air_Y,MS Zoning_C (all),MS Zoning_FV,MS Zoning_I (all),MS Zoning_RH,MS Zoning_RL,MS Zoning_RM,con2_posa_posn
109,533352170,60,69.05520046484602,13517,None,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,RRAe,Norm,1Fam,2Story,6,8,1976,2005,Gable,HdBoard,Plywood,BrkFace,289.0,3,TA,CBlock,TA,TA,No,GLQ,533.0,Unf,0.0,192.0,725.0,GasA,5,SBrkr,725,754,0,1479,0.0,0.0,2,1,3,1,4,6,Typ,0,None,Attchd,1976.0,RFn,2.0,475.0,TA,TA,Y,0,44,0,0,0,0,None,None,None,0,3,2010,WD ,130500,1,0,0,0,0,1,0,0,0,0,1,0,0
544,531379050,60,43.0,11492,None,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,2Story,7,5,1996,1997,Gable,VinylSd,VinylSd,BrkFace,132.0,3,TA,PConc,Gd,TA,No,GLQ,637.0,Unf,0.0,276.0,913.0,GasA,5,SBrkr,913,1209,0,2122,1.0,0.0,2,1,4,1,4,8,Typ,1,TA,Attchd,1997.0,RFn,2.0,559.0,TA,TA,Y,0,74,0,0,0,0,None,None,None,0,4,2009,WD ,220000,1,0,0,0,0,1,0,0,0,0,1,0,0
153,535304180,20,68.0,7922,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,2007,Gable,VinylSd,VinylSd,None,0.0,2,Gd,CBlock,TA,TA,No,GLQ,731.0,Unf,0.0,326.0,1057.0,GasA,3,SBrkr,1057,0,0,1057,1.0,0.0,1,0,3,1,4,5,Typ,0,None,Detchd,1953.0,Unf,1.0,246.0,TA,TA,Y,0,52,0,0,0,0,None,None,None,0,1,2010,WD ,109000,1,0,0,0,0,1,0,0,0,0,1,0,0
318,916386060,60,73.0,9802,None,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,2Story,5,5,2006,2007,Gable,VinylSd,VinylSd,None,0.0,2,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,384.0,384.0,GasA,4,SBrkr,744,700,0,1444,0.0,0.0,2,1,3,1,3,7,Typ,0,None,BuiltIn,2007.0,Fin,2.0,400.0,TA,TA,Y,100,0,0,0,0,0,None,None,None,0,4,2010,WD ,174000,1,0,0,0,0,1,0,0,0,0,1,0,0
255,906425045,50,82.0,14235,None,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,1.5Fin,6,8,1900,1993,Gable,Wd Sdng,Plywood,None,0.0,2,TA,PConc,Fa,Gd,No,Unf,0.0,Unf,0.0,676.0,676.0,GasA,3,SBrkr,831,614,0,1445,0.0,0.0,2,0,3,1,3,6,Typ,0,None,Detchd,1957.0,Unf,2.0,484.0,TA,TA,N,0,59,0,0,0,0,None,None,None,0,3,2010,WD ,138500,1,0,0,0,0,1,0,0,0,0,1,0,0
138,535126040,20,137.0,16492,None,IR1,Lvl,AllPub,Corner,Gtl,NAmes,PosA,Norm,1Fam,1Story,6,6,1966,2002,Gable,BrkFace,Plywood,None,0.0,3,TA,CBlock,TA,TA,No,ALQ,247.0,Rec,713.0,557.0,1517.0,GasA,5,SBrkr,1888,0,0,1888,0.0,0.0,2,1,2,1,4,6,Mod,1,Gd,Attchd,1966.0,Fin,2.0,578.0,TA,TA,Y,0,0,0,0,0,0,None,None,None,0,6,2010,WD ,190000,1,0,0,0,0,1,0,0,0,0,1,0,0
2827,908186070,180,35.0,3675,None,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,TwnhsE,SFoyer,6,5,2005,2006,Gable,VinylSd,VinylSd,BrkFace,82.0,2,TA,PConc,Gd,TA,Gd,GLQ,547.0,Unf,0.0,0.0,547.0,GasA,4,SBrkr,1072,0,0,1072,1.0,0.0,2,0,2,1,3,5,Typ,0,None,Basment,2005.0,Fin,2.0,525.0,TA,TA,Y,0,44,0,0,0,0,None,None,None,0,6,2006,New,140000,1,0,0,0,0,1,0,0,0,0,0,1,0
145,535154050,20,69.05520046484602,12160,None,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,Plywood,Plywood,BrkFace,180.0,2,TA,CBlock,TA,TA,No,Rec,1000.0,Unf,0.0,188.0,1188.0,GasA,2,SBrkr,1188,0,0,1188,1.0,0.0,1,0,3,1,3,6,Typ,0,None,Attchd,1959.0,RFn,2.0,531.0,TA,TA,Y,0,0,0,0,0,0,None,MnPrv,None,0,5,2010,COD,142000,1,0,0,0,0,1,0,0,0,0,1,0,0
1942,535353130,20,69.05520046484602,15783,None,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1Story,5,5,1952,1952,Gable,Wd Sdng,Wd Sdng,None,0.0,2,TA,CBlock,TA,TA,No,Rec,292.0,Unf,0.0,632.0,924.0,GasA,3,SBrkr,924,0,0,924,0.0,0.0,1,0,2,1,3,6,Typ,0,None,Detchd,1952.0,Unf,1.0,420.0,TA,TA,Y,0,324,0,0,0,0,None,MnPrv,Shed,400,6,2007,WD ,112500,1,0,0,0,0,1,0,0,0,0,1,0,0
1956,535426130,60,70.0,11606,None,IR1,HLS,AllPub,Inside,Sev,NAmes,Norm,Norm,1Fam,2Story,5,5,1969,1969,Gable,Plywood,Plywood,BrkFace,192.0,2,TA,PConc,Gd,TA,Av,Rec,650.0,Unf,0.0,390.0,1040.0,GasA,3,SBrkr,1040,1040,0,2080,0.0,1.0,1,2,5,1,2,9,Typ,2,TA,Attchd,1969.0,Unf,2.0,504.0,TA,TA,Y,335,0,0,0,0,0,None,None,None,0,9,2007,WD ,135000,1,0,0,0,0,1,0,0,0,0,1,0,0
1044,527451290,160,21.0,1680,None,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,5,1971,1971,Gable,HdBoard,HdBoard,BrkFace,232.0,2,TA,CBlock,TA,TA,No,ALQ,387.0,Unf,0.0,96.0,483.0,GasA,3,SBrkr,483,504,0,987,0.0,0.0,1,1,2,1,3,4,Typ,0,None,Detchd,1971.0,Unf,1.0,264.0,TA,TA,Y,0,0,0,0,0,0,None,None,None,0,7,2008,COD,85400,1,0,0,0,0,1,0,0,0,0,0,1,0
2752,906380150,20,64.0,7488,None,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2005,2005,Gable,VinylSd,VinylSd,None,0.0,3,TA,PConc,Gd,TA,Av,GLQ,393.0,Unf,0.0,815.0,1208.0,GasA,5,SBrkr,1208,0,0,1208,0.0,0.0,2,0,2,1,4,6,Typ,0,None,Attchd,2005.0,RFn,2.0,632.0,TA,TA,Y,105,58,0,0,0,0,None,None,None,0,2,2006,WD ,183600,1,0,0,0,0,1,0,0,0,0,1,0,0
807,906226060,70,120.0,26400,None,Reg,Bnk,AllPub,FR2,Gtl,SawyerW,Feedr,Norm,1Fam,2Story,5,7,1880,2007,Gable,HdBoard,HdBoard,None,0.0,3,TA,PConc,None,None,None,None,0.0,None,0.0,0.0,0.0,GasA,5,SBrkr,1288,728,0,2016,0.0,0.0,1,0,4,1,3,7,Mod,1,TA,Attchd,1900.0,Unf,2.0,576.0,TA,TA,P,0,0,0,0,0,0,None,None,None,0,6,2009,WD ,131000,1,0,0,0,0,1,0,0,0,0,1,0,0
1177,533236070,160,24.0,2645,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,8,5,1999,2000,Gable,MetalSd,MetalSd,BrkFace,456.0,3,TA,PConc,Gd,TA,No,GLQ,813.0,Unf,0.0,147.0,960.0,GasA,5,SBrkr,962,645,0,1607,1.0,0.0,2,1,3,1,4,7,Typ,0,None,Detchd,2000.0,Unf,2.0,480.0,TA,TA,Y,169,0,0,0,0,0,None,None,None,0,12,2008,ConLD,200000,1,0,0,0,0,1,0,1,0,0,0,0,0
1480,907418040,20,74.0,9627,None,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2007,2007,Gable,VinylSd,VinylSd,None,0.0,3,TA,PConc,Gd,TA,Av,GLQ,24.0,Unf,0.0,1327.0,1351.0,GasA,5,SBrkr,1361,0,0,1361,0.0,0.0,2,0,3,1,4,6,Typ,0,None,Attchd,2007.0,RFn,2.0,610.0,TA,TA,Y,0,50,0,0,0,0,None,None,None,0,6,2008,WD ,193000,1,0,0,0,0,1,0,0,0,0,1,0,0
324,923202105,20,93.0,10114,None,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,5,5,2004,2005,Gable,VinylSd,VinylSd,None,0.0,2,TA,PConc,Ex,TA,Av,Unf,0.0,Unf,0.0,1430.0,1430.0,GasA,5,SBrkr,1430,0,0,1430,0.0,0.0,2,0,3,1,4,7,Typ,0,None,Attchd,2004.0,RFn,2.0,624.0,TA,TA,Y,0,0,0,0,0,0,None,None,None,0,3,2010,WD ,173500,1,0,0,0,0,1,0,0,0,0,1,0,0
1311,902301140,70,34.0,4571,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,5,5,1916,1950,Gable,AsbShng,AsbShng,None,0.0,2,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,624.0,624.0,GasA,2,SBrkr,624,720,0,1344,0.0,0.0,1,0,4,1,3,7,Typ,0,None,Detchd,1916.0,Unf,3.0,513.0,Fa,Fa,Y,0,0,96,0,0,0,None,None,None,0,5,2008,COD,98000,1,0,0,0,0,0,0,0,0,0,0,1,0
770,905101490,20,80.0,8816,None,Reg,Lvl,AllPub,Corner,Gtl,Sawyer,Feedr,Norm,1Fam,1Story,5,6,1963,1963,Gable,VinylSd,VinylSd,None,0.0,2,TA,PConc,TA,TA,No,Rec,651.0,Unf,0.0,470.0,1121.0,GasA,3,SBrkr,1121,0,0,1121,1.0,0.0,1,0,3,1,3,5,Typ,0,None,Detchd,1963.0,Unf,2.0,480.0,TA,TA,Y,0,80,0,0,0,0,None,MnPrv,None,0,6,2009,WD ,139000,1,0,0,0,0,1,0,0,0,0,1,0,0
2063,905107140,20,71.0,8197,None,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,6,5,1977,1977,Gable,Plywood,Plywood,BrkFace,148.0,2,TA,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,660.0,660.0,GasA,5,SBrkr,1285,0,0,1285,0.0,0.0,1,1,3,1,3,7,Typ,1,TA,Attchd,1977.0,RFn,2.0,528.0,TA,TA,Y,138,0,0,0,0,0,None,MnPrv,None,0,4,2007,WD ,143500,1,0,0,0,0,1,0,0,0,0,1,0,0
69,528458070,60,72.0,8640,None,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,7,5,2009,2009,Gable,VinylSd,VinylSd,None,0.0,2,TA,PConc,Gd,TA,Mn,GLQ,24.0,Unf,0.0,732.0,756.0,GasA,5,SBrkr,764,783,0,1547,0.0,0.0,2,1,3,1,4,7,Typ,0,None,Attchd,2009.0,Unf,2.0,614.0,TA,TA,Y,169,45,0,0,0,0,None,None,None,0,6,2010,Con,215200,1,0,0,0,0,1,0,1,0,0,0,0,0
2062,905106150,20,109.0,8724,None,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1968,1968,Gable,VinylSd,VinylSd,None,0.0,2,TA,CBlock,Gd,TA,No,BLQ,492.0,Unf,0.0,402.0,894.0,GasA,4,SBrkr,894,0,0,894,0.0,0.0,1,0,3,1,3,5,Typ,1,Po,Attchd,1968.0,Fin,2.0,450.0,TA,TA,Y,0,0,0,0,0,0,None,None,None,0,5,2007,WD ,129000,1,0,0,0,0,1,0,0,0,0,1,0,0
