Id,PID,MS SubClass,Lot Frontage,Lot Area,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,SalePrice,Street_Pave,Roof Matl_Membran,Roof Matl_Tar&Grv,Roof Matl_WdShake,Roof Matl_WdShngl,Central Air_Y,MS Zoning_C (all),MS Zoning_FV,MS Zoning_I (all),MS Zoning_RH,MS Zoning_RL,MS Zoning_RM,con2_posa_posn
109,533352170,0.4993042914204593,0.07170737928784574,0.8636716217221686,None,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,RRAe,Norm,1Fam,2Story,6,2.0629193934552874,1976,2005,Gable,HdBoard,Plywood,BrkFace,1.3239142988762784,1.084858155438852,TA,CBlock,TA,TA,No,GLQ,0.6408127892125354,Unf,-0.3717272286812469,-0.7142529996840823,725.0,GasA,5,SBrkr,-1.2972691857785266,1.1861265186808632,-0.12893674859611995,0.1265718340937267,-0.8363523174407176,-0.2569683876376889,2,1.3377477862484015,3,-0.16361596255644822,4,-0.17492255244600247,Typ,-0.9950722574786423,None,Attchd,1976.0,RFn,2.0,475.0,TA,TA,Y,-0.9426604474811019,0.687042973770916,-0.43652918208611446,-0.11424626398854959,-0.3100699925804395,-0.06308802978765117,None,None,None,-0.18097880127165075,3,2010,WD ,-0.6014324530241842,1,-0.022266248460967406,-0.08653766145283459,-0.04456565178215864,-0.04983828792074762,1,-0.09749231957538035,-0.22103517560910724,-0.022266248460967402,-0.08358246194095852,1,-0.4308873690355284,-0.0546086747308961
544,531379050,0.4993042914204593,-1.3216828996735444,0.5083845988600036,None,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,2Story,7,-0.48589745011325525,1996,1997,Gable,VinylSd,VinylSd,BrkFace,1.182899768651828,1.084858155438852,TA,PConc,Gd,TA,No,GLQ,0.7477977991751096,Unf,-0.3717272286812469,-0.4445465061453054,913.0,GasA,5,SBrkr,-0.5887741811247242,1.2661612506792617,-0.12893674859611995,1.2872717289569664,1.1778442965729075,-0.2569683876376889,2,1.3377477862484015,4,-0.16361596255644822,4,1.0601140984244393,Typ,0.8452784060623898,TA,Attchd,1997.0,RFn,2.0,559.0,TA,TA,Y,-0.9426604474811019,0.9304915226164077,-0.43652918208611446,-0.11424626398854959,-0.3100699925804395,-0.06308802978765117,None,None,None,-0.18097880127165075,4,2009,WD ,0.6934881310469955,1,-0.022266248460967406,-0.08653766145283459,-0.04456565178215864,-0.04983828792074762,1,-0.09749231957538035,-0.22103517560910724,-0.022266248460967402,-0.08358246194095852,1,-0.4308873690355284,-0.0546086747308961
153,535304180,-1.147946576657692,0.019918803876903736,-0.26617468139937206,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,1.2739384443533337,1953,2007,Gable,VinylSd,VinylSd,None,-0.8067771078307343,-0.6382508149481481,Gd,CBlock,TA,TA,No,GLQ,0.833395615472205,Unf,-0.3717272286812469,-0.30456633266829386,1057.0,GasA,3,SBrkr,-0.13308503448082315,-0.8462848303820348,-0.12893674859611995,-0.923695489463338,1.1778442965729075,-0.2569683876376889,1,-0.7437679549337323,3,-0.16361596255644822,4,-0.9424872209858837,Typ,-0.9950722574786423,None,Detchd,1953.0,Unf,1.0,246.0,TA,TA,Y,-0.9426604474811019,0.7648328850125066,-0.43652918208611446,-0.11424626398854959,-0.3100699925804395,-0.06308802978765117,None,None,None,-0.18097880127165075,1,2010,WD ,-1.0309805426446934,1,-0.022266248460967406,-0.08653766145283459,-0.04456565178215864,-0.04983828792074762,1,-0.09749231957538035,-0.22103517560910724,-0.022266248460967402,-0.08358246194095852,1,-0.4308873690355284,-0.0546086747308961
318,916386060,0.4993042914204593,0.2625613308433608,0.17054704472507667,None,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,2Story,5,-0.48589745011325525,2006,2007,Gable,VinylSd,VinylSd,None,-0.8067771078307343,-0.6382508149481481,TA,PConc,Gd,TA,No,Unf,-1.3479381306073697,Unf,-0.3717272286812469,-0.1558127741916508,384.0,GasA,4,SBrkr,-1.2183149036438996,1.172994048597293,-0.12893674859611995,0.050752588118475744,-0.8363523174407176,-0.2569683876376889,2,1.3377477862484015,3,-0.16361596255644822,3,0.48379778644289595,Typ,-0.9950722574786423,None,BuiltIn,2007.0,Fin,2.0,400.0,TA,TA,Y,0.887667788493941,-1.072512496008294,-0.43652918208611446,-0.11424626398854959,-0.3100699925804395,-0.06308802978765117,None,None,None,-0.18097880127165075,4,2010,WD ,0.10273826933482028,1,-0.022266248460967406,-0.08653766145283459,-0.04456565178215864,-0.04983828792074762,1,-0.09749231957538035,-0.22103517560910724,-0.022266248460967402,-0.08358246194095852,1,-0.4308873690355284,-0.0546086747308961
255,906425045,0.2526095647256916,0.6830905254516163,0.9792718423178212,None,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,1.5Fin,6,2.0629193934552874,1900,1993,Gable,Wd Sdng,Plywood,None,-0.8067771078307343,-0.6382508149481481,TA,PConc,Fa,Gd,No,Unf,-1.3479381306073697,Unf,-0.3717272286812469,0.45535560458585644,676.0,GasA,3,SBrkr,-0.8792600729933244,1.1494615663584957,-0.12893674859611995,0.052942192785807606,-0.8363523174407176,-0.2569683876376889,2,-0.7437679549337323,3,-0.16361596255644822,3,-0.17492255244600247,Typ,-0.9950722574786423,None,Detchd,1957.0,Unf,2.0,484.0,TA,TA,N,-0.9426604474811019,0.823928593150412,-0.43652918208611446,-0.11424626398854959,-0.3100699925804395,-0.06308802978765117,None,None,None,-0.18097880127165075,3,2010,WD ,-0.45760556512143724,1,-0.022266248460967406,-0.08653766145283459,-0.04456565178215864,-0.04983828792074762,1,-0.09749231957538035,-0.22103517560910724,-0.022266248460967402,-0.08358246194095852,1,-0.4308873690355284,-0.0546086747308961
138,535126040,-1.147946576657692,2.9316380309529197,1.3142122252091868,None,IR1,Lvl,AllPub,Corner,Gtl,NAmes,PosA,Norm,1Fam,1Story,6,0.42868126042638754,1966,2002,Gable,BrkFace,Plywood,None,-0.8067771078307343,1.084858155438852,TA,CBlock,TA,TA,No,ALQ,0.22542685732667497,Rec,2.6927081856996216,0.227649932443886,1517.0,GasA,5,SBrkr,1.7157231532780655,-0.8462848303820348,-0.12893674859611995,0.907903948012845,-0.8363523174407176,-0.2569683876376889,2,1.3377477862484015,2,-0.16361596255644822,4,-0.17492255244600247,Mod,0.8452784060623898,Gd,Attchd,1966.0,Fin,2.0,578.0,TA,TA,Y,-0.9426604474811019,-1.072512496008294,-0.43652918208611446,-0.11424626398854959,-0.3100699925804395,-0.06308802978765117,None,None,None,-0.18097880127165075,6,2010,WD ,0.3225108849773086,1,-0.022266248460967406,-0.08653766145283459,-0.04456565178215864,-0.04983828792074762,1,-0.09749231957538035,-0.22103517560910724,-0.022266248460967402,-0.08358246194095852,1,-0.4308873690355284,-0.0546086747308961
2827,908186070,1.7812714924441078,-1.8139936923809596,-1.703639334245712,None,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,TwnhsE,SFoyer,6,-0.48589745011325525,2005,2006,Gable,VinylSd,VinylSd,BrkFace,1.0824891721588046,-0.6382508149481481,TA,PConc,Gd,TA,Gd,GLQ,0.6561091566409806,Unf,-0.3717272286812469,-2.054696946233457,547.0,GasA,4,SBrkr,-0.08900684936790865,-0.8462848303820348,-0.12893674859611995,-0.8802086574011388,1.1778442965729075,-0.2569683876376889,2,-0.7437679549337323,2,-0.16361596255644822,3,-0.9424872209858837,Typ,-0.9950722574786423,None,Basment,2005.0,Fin,2.0,525.0,TA,TA,Y,-0.9426604474811019,0.687042973770916,-0.43652918208611446,-0.11424626398854959,-0.3100699925804395,-0.06308802978765117,None,None,None,-0.18097880127165075,6,2006,New,-0.43146542467857796,1,-0.022266248460967406,-0.08653766145283459,-0.04456565178215864,-0.04983828792074762,1,-0.09749231957538035,-0.22103517560910724,-0.022266248460967402,-0.08358246194095852,0,2.3207920952483208,-0.0546086747308961
145,535154050,-1.147946576657692,0.07170737928784574,0.6308417958591298,None,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,-0.48589745011325525,1959,1959,Hip,Plywood,Plywood,BrkFace,1.2421145808395642,-0.6382508149481481,TA,CBlock,TA,TA,No,Rec,1.0384119852635514,Unf,-0.3717272286812469,-0.728532497319194,1188.0,GasA,2,SBrkr,0.23362626068516507,-0.8462848303820348,-0.12893674859611995,-0.5616325567345167,1.1778442965729075,-0.2569683876376889,1,-0.7437679549337323,3,-0.16361596255644822,3,-0.17492255244600247,Typ,-0.9950722574786423,None,Attchd,1959.0,RFn,2.0,531.0,TA,TA,Y,-0.9426604474811019,-1.072512496008294,-0.43652918208611446,-0.11424626398854959,-0.3100699925804395,-0.06308802978765117,None,MnPrv,None,-0.18097880127165075,5,2010,COD,-0.3969973626634673,1,-0.022266248460967406,-0.08653766145283459,-0.04456565178215864,-0.04983828792074762,1,-0.09749231957538035,-0.22103517560910724,-0.022266248460967402,-0.08358246194095852,1,-0.4308873690355284,-0.0546086747308961
1942,535353130,-1.147946576657692,0.07170737928784574,1.213233702103363,None,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1Story,5,-0.48589745011325525,1952,1952,Gable,Wd Sdng,Wd Sdng,None,-0.8067771078307343,-0.6382508149481481,TA,CBlock,TA,TA,No,Rec,0.3097758182321066,Unf,-0.3717272286812469,0.3738549230206057,924.0,GasA,3,SBrkr,-0.5516760816717421,-0.8462848303820348,-0.12893674859611995,-1.3362245114565214,-0.8363523174407176,-0.2569683876376889,1,-0.7437679549337323,2,-0.16361596255644822,3,-0.17492255244600247,Typ,-0.9950722574786423,None,Detchd,1952.0,Unf,1.0,420.0,TA,TA,Y,-0.9426604474811019,1.639218042502969,-0.43652918208611446,-0.11424626398854959,-0.3100699925804395,-0.06308802978765117,None,MnPrv,Shed,5.525509026937953,6,2007,WD ,-0.9561778996177651,1,-0.022266248460967406,-0.08653766145283459,-0.04456565178215864,-0.04983828792074762,1,-0.09749231957538035,-0.22103517560910724,-0.022266248460967402,-0.08358246194095852,1,-0.4308873690355284,-0.0546086747308961
1956,535426130,0.4993042914204593,0.11780844484070989,0.5296849366740845,None,IR1,HLS,AllPub,Inside,Sev,NAmes,Norm,Norm,1Fam,2Story,5,-0.48589745011325525,1969,1969,Gable,Plywood,Plywood,BrkFace,1.253858519139913,-0.6382508149481481,TA,PConc,Gd,TA,Av,Rec,0.760196263546128,Unf,-0.3717272286812469,-0.14112706342721035,1040.0,GasA,3,SBrkr,-0.18375212896132362,1.2412646897981634,-0.12893674859611995,1.222110517862894,-0.8363523174407176,3.891529244983352,1,1.607367482893254,5,-0.16361596255644822,2,1.5719294954646827,Typ,1.64468406376771,TA,Attchd,1969.0,Unf,2.0,504.0,TA,TA,Y,1.254734393235028,-1.072512496008294,-0.43652918208611446,-0.11424626398854959,-0.3100699925804395,-0.06308802978765117,None,None,None,-0.18097880127165075,9,2007,WD ,-0.5195940388842175,1,-0.022266248460967406,-0.08653766145283459,-0.04456565178215864,-0.04983828792074762,1,-0.09749231957538035,-0.22103517560910724,-0.022266248460967402,-0.08358246194095852,1,-0.4308873690355284,-0.0546086747308961
